base_term,term,field,count,quoted_count,quoted_phrase_found,query_translation
Abell-Kendall method,"""Abell-Kendall method""",title/abstract,11,11,True,"""Abell-Kendall method""[Title/Abstract]"
Abell-Kendall method,"""Abell Kendall method""",title/abstract,11,11,True,"""Abell Kendall method""[Title/Abstract]"
Abell-Kendall method,"""Abell and Kendall method""",title/abstract,37,0,False,Abell[Title/Abstract] AND Kendall[Title/Abstract] AND method[Title/Abstract]
Abell-Kendall method,"""Abell's and Kendall's method""",title/abstract,0,0,False,Abell's[Title/Abstract] AND Kendall's[Title/Abstract] AND method[Title/Abstract]
Abell-Kendall method,"""Abell and Kendall's method""",title/abstract,0,0,False,Abell[Title/Abstract] AND Kendall's[Title/Abstract] AND method[Title/Abstract]
Abell-Kendall method,"""Abell Kendall's method""",title/abstract,0,0,False,Abell[Title/Abstract] AND Kendall's[Title/Abstract] AND method[Title/Abstract]
Abell-Kendall method,"""Abell-Kendall's method""",title/abstract,2134555,0,False,method[Title/Abstract]
Abell-Kendall method,"""method of Abell and Kendall""",title/abstract,37,0,False,method[Title/Abstract] AND Abell[Title/Abstract] AND Kendall[Title/Abstract]
Abell-Kendall method,"""method of Abell Kendall""",title/abstract,37,0,False,method[Title/Abstract] AND Abell[Title/Abstract] AND Kendall[Title/Abstract]
Abell-Kendall method,"""method of Abell-Kendall""",title/abstract,30,0,False,method[Title/Abstract] AND Abell-Kendall[Title/Abstract]
Adamkiewicz Test,"""Adamkiewicz Test""",title/abstract,20,0,False,Adamkiewicz[Title/Abstract] AND Test[Title/Abstract]
Adamkiewicz Test,"""Adamkiewicz's Test""",title/abstract,1,0,False,Adamkiewicz's[Title/Abstract] AND Test[Title/Abstract]
Adamkiewicz Test,"""Test of Adamkiewicz""",title/abstract,20,0,False,Test[Title/Abstract] AND Adamkiewicz[Title/Abstract]
Adler Test,"""Adler Test""",title/abstract,4,4,True,"""Adler Test""[Title/Abstract]"
Adler Test,"""Adler's Test""",title/abstract,2,0,False,Adler's[Title/Abstract] AND Test[Title/Abstract]
Adler Test,"""Test of Adler""",title/abstract,30,0,False,Test[Title/Abstract] AND Adler[Title/Abstract]
Allen Correction,"""Allen Correction""",title/abstract,9,9,True,"""Allen Correction""[Title/Abstract]"
Allen Correction,"""Allen's Correction""",title/abstract,5,5,True,"""Allen's Correction""[Title/Abstract]"
Allen Correction,"""Correction of Allen""",title/abstract,40,0,False,Correction[Title/Abstract] AND Allen[Title/Abstract]
Allen Volumetric Method,"""Allen Volumetric Method""",title/abstract,3,0,False,Allen[Title/Abstract] AND Volumetric[Title/Abstract] AND Method[Title/Abstract]
Allen Volumetric Method,"""Allen's Volumetric Method""",title/abstract,1,0,False,Allen's[Title/Abstract] AND Volumetric[Title/Abstract] AND Method[Title/Abstract]
Allen Volumetric Method,"""Volumetric Method of Allen""",title/abstract,3,0,False,Volumetric[Title/Abstract] AND Method[Title/Abstract] AND Allen[Title/Abstract]
Almen-Bottger Test,"""Almen-Bottger Test""",title/abstract,1489563,0,False,Test[Title/Abstract]
Almen-Bottger Test,"""Almen Bottger Test""",title/abstract,0,0,False,Almen[Title/Abstract] AND Bottger[Title/Abstract] AND Test[Title/Abstract]
Almen-Bottger Test,"""Almen and Bottger Test""",title/abstract,0,0,False,Almen[Title/Abstract] AND Bottger[Title/Abstract] AND Test[Title/Abstract]
Almen-Bottger Test,"""Almen's and Bottger's Test""",title/abstract,0,0,False,Almen's[Title/Abstract] AND Bottger's[Title/Abstract] AND Test[Title/Abstract]
